,Data,Label
159,$account.contextAttributes.value,
160,$account.accountStatus,
161,$account.designation,
162,$account.fee.type,
163,$account.fee.amount.value,
164,$account.fee.amount.type,
165,$account.fee.amount.currency,
166,$account.fee.taxIncluded,
167,$account.fee.effectiveFromDate,
168,$account.alternateIdentifiers.alternateIdType,
169,$account.alternateIdentifiers.alternateId,
170,$account.accountCreatedDate,
171,$account.modelPortfolio.modelId,
172,$account.modelPortfolio.modelVersion,
173,$account.customerRelationships.customerId,
174,$account.customerRelationships.relationship,
175,$account.customerRelationships.relationshipStartDate,
176,$account.customerRelationships.relationshipEndDate,
177,$account.customerRelationships.contextAttributes.name,
178,$account.customerRelationships.contextAttributes.value,
179,$account.customerRelationships.href,
180,$account.financialPartnerRelationships.financialPartnerId,
181,$account.financialPartnerRelationships.relationship,
182,$account.financialPartnerRelationships.href,
183,$account.schemeMembership.status,
184,$account.schemeMembership.startDate,
185,$account.auto-enrolment.status,
186,$account.auto-enrolment.subStatus,
187,$account.auto-enrolment.startDate,
188,$account.schemeCategoryRelationship.schemeCategoryId,
189,$account.schemeCategoryRelationship.relationshipStartDate,
190,$account.schemeCategoryRelationship.relationshipEndDate,
191,$accounts.accountId,
192,$accounts.accountOwners.customerId,
193,$accounts.accountOwners.primary,
194,$accounts.accountType,
195,$accounts.contextAttributes.name,
196,$accounts.contextAttributes.value,
197,$accounts.accountStatus,
198,$accounts.designation,
199,$accounts.fee.type,
200,$accounts.fee.amount.value,
201,$accounts.fee.amount.type,
202,$accounts.fee.amount.currency,
203,$accounts.fee.taxIncluded,
204,$accounts.fee.effectiveFromDate,
205,$accounts.alternateIdentifiers.alternateIdType,
206,$accounts.alternateIdentifiers.alternateId,
207,$accounts.accountCreatedDate,
208,$accounts.modelPortfolio.modelId,
209,$accounts.modelPortfolio.modelVersion,
210,$accounts.customerRelationships.customerId,
211,$accounts.customerRelationships.relationship,
212,$accounts.customerRelationships.relationshipStartDate,
213,$accounts.customerRelationships.relationshipEndDate,
214,$accounts.customerRelationships.contextAttributes.name,
215,$accounts.customerRelationships.contextAttributes.value,
216,$accounts.customerRelationships.href,
217,$accounts.financialPartnerRelationships.financialPartnerId,
218,$accounts.financialPartnerRelationships.relationship,
219,$accounts.financialPartnerRelationships.href,
220,$accounts.schemeMembership.status,
221,$accounts.schemeMembership.startDate,
222,$accounts.auto-enrolment.status,
223,$accounts.auto-enrolment.subStatus,
224,$accounts.auto-enrolment.startDate,
225,$accounts.schemeCategoryRelationship.schemeCategoryId,
226,$accounts.schemeCategoryRelationship.relationshipStartDate,
227,$accounts.schemeCategoryRelationship.relationshipEndDate,
228,$controls.name,
229,$controls.allowed,
230,$accountStatistics.performance.totalReturn.totalReturnStartDate,
231,$accountStatistics.performance.totalReturn.totalReturnEndDate,
232,$accountStatistics.performance.totalReturn.annualisedPercentageReturn,
233,$accountStatistics.performance.totalReturn.absoluteTotalReturn,
234,$accountStatistics.performance.totalReturn.currency,
235,$accountStatistics.performance.totalReturn.percentageTotalReturn,
236,$accountStatistics.performance.realisedGain.value,
237,$accountStatistics.performance.realisedGain.currency,
238,$accountStatistics.performance.unrealisedGain.value,
239,$accountStatistics.performance.unrealisedGain.currency,
240,$accountStatistics.contribution.sinceInception.value,
241,$accountStatistics.contribution.sinceInception.currency,
242,$accountStatistics.contribution.currentTaxYear.value,
243,$accountStatistics.contribution.currentTaxYear.currency,
244,$accountStatistics.withdrawal.sinceInception.value,
245,$accountStatistics.withdrawal.sinceInception.currency,
246,$accountStatistics.withdrawal.currentTaxYear.value,
247,$accountStatistics.withdrawal.currentTaxYear.currency,
248,$accountStatistics.serviceFeeRates.amount,
249,$accountStatistics.pensionTaxReliefDue.amount,
250,$accountStatistics.pensionTaxReliefDue.currency,
251,$accountStatistics.cappedDrawdownIncome.withdrawal.grossCappedIncome.value,
252,$accountStatistics.cappedDrawdownIncome.withdrawal.grossCappedIncome.currency,
253,$accountStatistics.cappedDrawdownIncome.withdrawal.maximumAnnualIncomeLimit,
254,$accountStatistics.cappedDrawdownIncome.withdrawal.nextReviewDate,
255,$links.rel,
256,$links.href,
257,$links.method,
258,$customerRelationships.customerId,
259,$customerRelationships.relationship,
260,$customerRelationships.relationshipStartDate,
261,$customerRelationships.relationshipEndDate,
262,$customerRelationships.contextAttributes.name,
263,$customerRelationships.contextAttributes.value,
264,$customerRelationships.href,
265,$accountPreferences.incomeTreatment,
266,$accountPreferences.feeFunding.source.id,
267,$accountPreferences.feeFunding.source.type,
268,$accountPreferences.feeFunding.priority,
269,$accountPreferences.feeFunding.method,
270,$accountPreferences.feeFunding.assets.externalReference,
271,$accountPreferences.feeFunding.assets.assetName,
272,$accountPreferences.feeFunding.assets.assetId.type,
273,$accountPreferences.feeFunding.assets.assetId.value,
274,$accountPreferences.feeFunding.assets.percentage,
275,$contributions.contributionsType.contributionTypeId,
276,$contributions.contributionsType.name,
277,$contributions.amount.type,
278,$contributions.amount.value,
279,$contributions.investmentStrategies.investmentStrategy.amount.type,
280,$contributions.investmentStrategies.investmentStrategy.amount.value,
281,$contributions.investmentStrategies.investmentStrategy.strategy.investmentProfile.asset.assetId.value,
282,$contributions.investmentStrategies.investmentStrategy.strategy.investmentProfile.asset.assetId.type,
283,$contributions.investmentStrategies.investmentStrategy.strategy.investmentProfile.asset.name,
284,$contributions.investmentStrategies.investmentStrategy.strategy.investmentProfile.percentage,
285,$name.it,FN
286,$name.uk,FN
287,$name.us,FN
288,$name.es,FN
289,$name.de,FN
290,$name.fr,FN
291,$name.cn,FN
292,$chartType,
293,$aggregationType,
294,$mapType,
295,$splineType,
296,$stackingType,
297,$ReportOptions.latitude,
298,$ReportOptions.longitude,
299,$ReportOptions.speed,
300,$ReportOptions.keyon,
301,$ReportOptions.snapToRoad,
302,$ReportOptions.mapMode,
303,$ReportOptions.color,
304,$ReportOptions.color_start,
305,$ReportOptions.color_end,
306,$ReportOptions.waypointTypeList.name,
307,$ReportOptions.waypointTypeList.latitude,
308,$ReportOptions.waypointTypeList.longitude,
309,$ReportOptions.waypointTypeList.color,
310,$ReportOptions.routeTypeList.name,
311,$ReportOptions.routeTypeList.measure,
312,$ReportOptions.routeTypeList.function,
313,$ReportOptions.routeTypeList.value,
314,$ReportOptions.routeTypeList.color,
315,$ReportOptions.xAxis.label,
316,$ReportOptions.yAxis.label,
317,$ReportOptions.yAxis2.label,
318,$ReportOptions.axisSnap,
319,$ReportOptions.measures.measureId,
320,$ReportOptions.measures.function,
321,$ReportOptions.measures.useY,
322,$ReportOptions.measures.calc,
323,$ReportOptions.measures.disabled,
324,$ReportOptions.machines.id,
325,$ReportOptions.startDate,
326,$ReportOptions.endDate,
327,$description.it,
328,$description.uk,
329,$description.us,
330,$description.es,
331,$description.de,
332,$description.fr,
333,$description.cn,
334,$modelList.id,
335,$modelList.idModel,
336,$modelList.idTrigger,
337,$modelList.idOutputVariable,
338,$modelList.offset,
339,$modelList.multi,
340,$modelList.div,
341,$name.givenName,FN
342,$name.familyName,LN
343,$permission,
344,$type,
345,$organizationInfo.phoneNumber,
346,$organizationInfo.postalAddress.regionCode,
347,$organizationInfo.postalAddress.languageCode,
348,$organizationInfo.postalAddress.postalCode,
349,$organizationInfo.postalAddress.sortingCode,
350,$organizationInfo.postalAddress.administrativeArea,
351,$organizationInfo.postalAddress.locality,
352,$organizationInfo.postalAddress.sublocality,
353,$organizationInfo.postalAddress.addressLines,
354,$organizationInfo.postalAddress.recipients,
355,$organizationInfo.postalAddress.organization,
356,$createdAt,
357,$updatedAt,
358,$courseId,
359,$courseName,
360,$courseDuration,
361,$courseType,
362,$Id,
363,$Status,
364,$ExpenseId,
365,$Description,
366,$Amount,
367,$Currency.Code,
368,$Date,
369,$CostType.Id,
370,$PaymentType,
371,$Participants,
372,$Hotel.Nights,
373,$Hotel.Name,
374,$AdditionalDetails,
375,$CurrencyRate,
376,$Attachments.Description,
377,$Attachments.Filename,
378,$Attachments.HasSmartScan,
379,$Attachments.OriginalFilename,
380,$Attachments.CreationDate,
381,$Postings.AllocationDayInfo.Dimensions.Id,
382,$Postings.AllocationDayInfo.Dimensions.Name,
383,$Postings.AllocationDayInfo.Dimensions.Required,
384,$Postings.AllocationDayInfo.Dimensions.Sublevels.Id,
385,$Postings.AllocationDayInfo.Dimensions.Sublevels.Name,
386,$Postings.AllocationDayInfo.Dimensions.Sublevels.Required,
387,$Postings.AllocationDayInfo.Dimensions.Sublevels.Sublevels.Id,
388,$Postings.AllocationDayInfo.Dimensions.Sublevels.Sublevels.Name,
389,$Postings.AllocationDayInfo.Dimensions.Sublevels.Sublevels.Required,
390,$Postings.AllocationDimensionItems.DimensionName,
391,$Postings.AllocationDimensionItems.Items.DimensionId,
392,$Postings.AllocationDimensionItems.Items.Id,
393,$Postings.AllocationDimensionItems.Items.DimensionName,
394,$Postings.AllocationDimensionItems.Items.Name,
395,$CostTypes.Id,
396,$CostTypes.Name,
397,$CostTypes.Organisation.Code,
398,$CostTypes.Organisation.Id,
399,$CostTypes.Organisation.Name,
400,$CostTypes.Types.Id,
401,$CostTypes.Types.Name,
402,$CostTypes.Types.Disabled,
403,$CostTypes.DescriptionRequired,
404,$CostTypes.Participants,
405,$CostTypes.HotelInfo,
406,$Currencies.Code,
407,$Currencies.Name,
408,$Currencies.Rate,
409,$Currencies.MinRate,
410,$Currencies.MaxRate,
411,$Dimensions.Id,
412,$Dimensions.Name,
413,$Dimensions.Required,
414,$Dimensions.Sublevels.Id,
415,$Dimensions.Sublevels.Name,
416,$Dimensions.Sublevels.Required,
417,$Dimensions.Sublevels.Sublevels.Id,
418,$Dimensions.Sublevels.Sublevels.Name,
419,$Dimensions.Sublevels.Sublevels.Required,
420,$FavoriteDimensions.Dimensions.DimensionId,
421,$FavoriteDimensions.Dimensions.Id,
422,$FavoriteDimensions.Dimensions.DimensionName,
423,$FavoriteDimensions.Dimensions.Name,
424,$FavoriteDimensions.Dimensions.ParentId,
425,$DimensionName,
426,$Items.Id,
427,$Items.Name,
428,$Items.Code,
429,$Items.Dependencies.DimensionId,
430,$Items.Dependencies.DimensionName,
431,$Items.Dependencies.Name,
432,$Items.Dependencies.Id,
433,$Items.Dependencies.ParentId,
434,$releaseDate,
435,$manufacturer.name,
436,$manufacturer.homePage,
437,$manufacturer.phone,
438,$responseCode,
439,$httpCode,
440,$message,
441,$items._id,
442,$items.roleName,
443,$items.priority,
444,$items.liveView,
445,$items.recordingView,
446,$items.recordingDownload,
447,$items.incidentView,
448,$items.incidentDownload,
449,$items.cameraConfiguration,
450,$items.mapView,
451,$items.userManagement,
452,$items.deviceManagement,
453,$items.alertView,
454,$items.ptzControl,
455,$_id,
456,$serverSessionKey.token,
457,$serverSessionKey.timestamp,
458,$items.archiveView,
459,$items.eventSearch,
460,$items.eventDownload,
461,$items.customerId,
462,$items.userId,
463,$items.expiryTimeStamp,
464,$items.serviceUrl.masterService,
465,$items.serviceUrl.recordingService,
466,$items.serviceUrl.deviceStatusService,
467,$items.messageServiceDetails.domainAddress,IP
468,$items.messageServiceDetails.username,FN
469,$items.messageServiceDetails.password,
470,$items.hlsUrl,
471,$items.webRtc,
472,$items.sessionId,
473,$items.installationModel,
474,$items.yojakaId,
475,$items.registrationStatusCode,
476,$items.name,
477,$items.lastUpdateTimeStamp,
478,$items.cameraConfig.vendorName,
479,$items.cameraConfig.modelNumber,
480,$items.cameraConfig.rtspMajor.url,
481,$items.cameraConfig.rtspMajor.bitratekbps,
482,$items.cameraConfig.rtspMajor.framerate,
483,$items.cameraConfig.rtspMajor.videocodec,
484,$items.cameraConfig.rtspMajor.audiocodec,
485,$items.cameraConfig.rtspMajor.resolution.height,
486,$items.cameraConfig.rtspMajor.resolution.width,
487,$items.cameraConfig.rtspMinor.url,
488,$items.cameraConfig.rtspMinor.bitratekbps,
489,$items.cameraConfig.rtspMinor.framerate,
490,$items.cameraConfig.rtspMinor.videocodec,
491,$items.cameraConfig.rtspMinor.audiocodec,
492,$items.cameraConfig.rtspMinor.resolution.height,
493,$items.cameraConfig.rtspMinor.resolution.width,
494,$items.cameraConfig.analyticsUrl.url,
495,$items.cameraConfig.analyticsUrl.bitratekbps,
496,$items.cameraConfig.analyticsUrl.framerate,
497,$items.cameraConfig.analyticsUrl.videocodec,
498,$items.cameraConfig.analyticsUrl.audiocodec,
499,$items.cameraConfig.analyticsUrl.resolution.height,
500,$items.cameraConfig.analyticsUrl.resolution.width,
501,$items.cameraConfig.snapMajor.url,
502,$items.cameraConfig.snapMinor.url,
503,$items.cameraConfig.user,
504,$items.cameraConfig.password,
505,$items.cameraConfig.latitude,
506,$items.cameraConfig.longitude,
507,$items.cameraConfig.cameraType,
508,$items.groupId,
509,$items.surveillanceSubscriptionDetails._id,
510,$items.surveillanceSubscriptionDetails.planName,
511,$items.surveillanceSubscriptionDetails.liveStreamingMode,
512,$items.surveillanceSubscriptionDetails.recordingStreamingMode,
513,$items.surveillanceSubscriptionDetails.recordingReriodInDays,
514,$items.surveillanceSubscriptionDetails.planStatus,
515,$items.licensedetails.noOfCamera,
516,$items.licensedetails.analytics,
517,$items.timestamp,
518,$total,
519,$statusCode,
520,$items.serverDetails.messagingServiceUrl,
521,$items.serverDetails.messagingServiceUsername,
522,$items.serverDetails.messagingServicePassword,
523,$items.serverDetails.recordingServiceUrl,
524,$items.serverDetails.masterServiceUrl,
525,$items.serverDetails.streamingCommandServiceUrl,
526,$items.cameraDetails._id,
527,$items.cameraDetails.customerId,
528,$items.cameraDetails.installationModel,
529,$items.cameraDetails.yojakaId,
530,$items.cameraDetails.registrationStatusCode,
531,$items.cameraDetails.name,
532,$items.cameraDetails.lastUpdateTimeStamp,
533,$items.cameraDetails.cameraConfig.vendorName,
534,$items.cameraDetails.cameraConfig.modelNumber,
535,$items.cameraDetails.cameraConfig.rtspMajor.url,
536,$items.cameraDetails.cameraConfig.rtspMajor.bitratekbps,
537,$items.cameraDetails.cameraConfig.rtspMajor.framerate,
538,$items.cameraDetails.cameraConfig.rtspMajor.videocodec,
539,$items.cameraDetails.cameraConfig.rtspMajor.audiocodec,
540,$items.cameraDetails.cameraConfig.rtspMajor.resolution.height,
541,$items.cameraDetails.cameraConfig.rtspMajor.resolution.width,
542,$items.cameraDetails.cameraConfig.rtspMinor.url,
543,$items.cameraDetails.cameraConfig.rtspMinor.bitratekbps,
544,$items.cameraDetails.cameraConfig.rtspMinor.framerate,
545,$items.cameraDetails.cameraConfig.rtspMinor.videocodec,
546,$items.cameraDetails.cameraConfig.rtspMinor.audiocodec,
547,$items.cameraDetails.cameraConfig.rtspMinor.resolution.height,
548,$items.cameraDetails.cameraConfig.rtspMinor.resolution.width,
549,$items.cameraDetails.cameraConfig.analyticsUrl.url,
550,$items.cameraDetails.cameraConfig.analyticsUrl.bitratekbps,
551,$items.cameraDetails.cameraConfig.analyticsUrl.framerate,
552,$items.cameraDetails.cameraConfig.analyticsUrl.videocodec,
553,$items.cameraDetails.cameraConfig.analyticsUrl.audiocodec,
554,$items.cameraDetails.cameraConfig.analyticsUrl.resolution.height,
555,$items.cameraDetails.cameraConfig.analyticsUrl.resolution.width,
556,$items.cameraDetails.cameraConfig.snapMajor.url,
557,$items.cameraDetails.cameraConfig.snapMinor.url,
558,$items.cameraDetails.cameraConfig.user,
559,$items.cameraDetails.cameraConfig.password,
560,$items.cameraDetails.cameraConfig.latitude,
561,$items.cameraDetails.cameraConfig.longitude,
562,$items.cameraDetails.cameraConfig.cameraType,
563,$items.cameraDetails.groupId,
564,$items.cameraDetails.surveillanceSubscriptionDetails._id,
565,$items.cameraDetails.surveillanceSubscriptionDetails.planName,
566,$items.cameraDetails.surveillanceSubscriptionDetails.liveStreamingMode,
567,$items.cameraDetails.surveillanceSubscriptionDetails.recordingStreamingMode,
568,$items.cameraDetails.surveillanceSubscriptionDetails.recordingReriodInDays,
569,$items.cameraDetails.surveillanceSubscriptionDetails.planStatus,
570,$items.cameraDetails.licensedetails.noOfCamera,
571,$items.cameraDetails.licensedetails.analytics,FN
572,$items.cameraDetails.timestamp,
573,$items.statusCode,
574,$items.customerName,FN
575,$items.segmentId,
576,$items.providerId,
577,$items.surveillanceSubscriptionId,
578,$items.primaryContact.contactType,
579,$items.primaryContact.contactPersonName,FN
580,$items.primaryContact.contactPersonEmail,EMAIL
581,$items.primaryContact.contactPersonPhonenumber,TN
582,$items.primaryContact.contactAddress.streetAddress,HADD
583,$items.primaryContact.contactAddress.city,CITY
584,$items.primaryContact.contactAddress.state,ST
585,$items.primaryContact.contactAddress.country,CC
586,$items.primaryContact.contactAddress.zipcode,PC
587,$items.businessContact.contactType,
588,$items.businessContact.contactPersonName,FN
589,$items.businessContact.contactPersonEmail,EMAIL
590,$items.businessContact.contactPersonPhonenumber,TN
591,$items.businessContact.contactAddress.streetAddress,HADD
592,$items.businessContact.contactAddress.city,CITY
593,$items.businessContact.contactAddress.state,ST
594,$items.businessContact.contactAddress.country,CC
595,$items.businessContact.contactAddress.zipcode,PC
596,$items.technicalContact.contactType,
597,$items.technicalContact.contactPersonName,FN
598,$items.technicalContact.contactPersonEmail,EMAIL
599,$items.technicalContact.contactPersonPhonenumber,TN
600,$items.technicalContact.contactAddress.streetAddress,HADD
601,$items.technicalContact.contactAddress.city,CITY
602,$items.technicalContact.contactAddress.state,ST
603,$items.technicalContact.contactAddress.country,CC
604,$items.technicalContact.contactAddress.zipcode,PC
605,$items.licenseDetails.noOfCamera,
606,$items.licenseDetails.analytics,
607,$items.users._id,
608,$items.users.customerId,
609,$items.users.statusCode,
610,$items.users.fullName,FN
611,$items.users.userId,
612,$items.users.password,
613,$items.users.email,EMAIL
614,$items.users.phoneNumber,TN
615,$items.users.securityQuestion,
616,$items.users.securityAnswer,
617,$items.users.passwordChanged,
618,$items.users.roleId,
619,$items.fullName,FN
620,$items.password,
621,$items.email,EMAIL
622,$items.phoneNumber,TN
623,$items.securityQuestion,
624,$items.securityAnswer,
625,$items.passwordChanged,
626,$items.roleId,
627,$items.segmentName,
628,$items.segmentDescription,
629,$items.yojakaname,
630,$items.cameraCount,
631,$items.yojakaip,
632,$items.yojaka._id,
633,$items.yojaka.customerId,
634,$items.yojaka.yojakaname,
635,$items.yojaka.cameraCount,
636,$items.yojaka.yojakaip,
637,$items.yojaka.timestamp,
638,$items.customerDetails._id,
639,$items.customerDetails.statusCode,
640,$items.customerDetails.customerName,FN
641,$items.customerDetails.segmentId,
642,$items.customerDetails.providerId,
643,$items.customerDetails.surveillanceSubscriptionId,
644,$items.customerDetails.primaryContact.contactType,
645,$items.customerDetails.primaryContact.contactPersonName,FN
646,$items.customerDetails.primaryContact.contactPersonEmail,EMAIL
647,$items.customerDetails.primaryContact.contactPersonPhonenumber,TN
648,$items.customerDetails.primaryContact.contactAddress.streetAddress,HADD
649,$items.customerDetails.primaryContact.contactAddress.city,CITY
650,$items.customerDetails.primaryContact.contactAddress.state,ST
651,$items.customerDetails.primaryContact.contactAddress.country,CC
652,$items.customerDetails.primaryContact.contactAddress.zipcode,PC
653,$items.customerDetails.businessContact.contactType,
654,$items.customerDetails.businessContact.contactPersonName,FN
655,$items.customerDetails.businessContact.contactPersonEmail,EMAIL
656,$items.customerDetails.businessContact.contactPersonPhonenumber,TN
657,$items.customerDetails.businessContact.contactAddress.streetAddress,HADD
658,$items.customerDetails.businessContact.contactAddress.city,CITY
659,$items.customerDetails.businessContact.contactAddress.state,ST
660,$items.customerDetails.businessContact.contactAddress.country,CC
661,$items.customerDetails.businessContact.contactAddress.zipcode,PC
662,$items.customerDetails.technicalContact.contactType,
663,$items.customerDetails.technicalContact.contactPersonName,FN
664,$items.customerDetails.technicalContact.contactPersonEmail,EMAIL
665,$items.customerDetails.technicalContact.contactPersonPhonenumber,TN
666,$items.customerDetails.technicalContact.contactAddress.streetAddress,HADD
667,$items.customerDetails.technicalContact.contactAddress.city,CITY
668,$items.customerDetails.technicalContact.contactAddress.state,ST
669,$items.customerDetails.technicalContact.contactAddress.country,CC
670,$items.customerDetails.technicalContact.contactAddress.zipcode,PC
671,$items.customerDetails.licenseDetails.noOfCamera,
672,$items.customerDetails.licenseDetails.analytics,
673,$items.customerDetails.users._id,
674,$items.customerDetails.users.customerId,
675,$items.customerDetails.users.statusCode,
676,$items.customerDetails.users.fullName,FN
677,$items.customerDetails.users.userId,
678,$items.customerDetails.users.password,
679,$items.customerDetails.users.email,EMAIL
680,$items.customerDetails.users.phoneNumber,TN
681,$items.customerDetails.users.securityQuestion,
682,$items.customerDetails.users.securityAnswer,
683,$items.customerDetails.users.passwordChanged,
684,$items.customerDetails.users.roleId,
685,$items.cameraId,
686,$items.requestType,
687,$items.requestDescription,
688,$items.requestTimestamp,
689,$items.subscriber,
690,$items.segment.total,
691,$items.segment.rank.rank,
692,$items.segment.rank.caption,
693,$items.segment.rank.count,
694,$items.yojaka,
695,$items.camera.camtocloud,
696,$items.camera.hybrid,
697,$items.total,
698,$items.rank.rank,
699,$items.rank.caption,
700,$items.rank.count,
701,$userEmail,EMAIL
702,$firstName,FINA
703,$lastName,LN
704,$companyName,
705,$isError,
706,$description,
707,$isActive,
708,$productId,
709,$frequency,
710,$price,
711,$person.personId,
712,$person.personName.title,
713,$person.personName.firstName,FINA
714,$person.personName.lastName,LN
715,$person.dateOfBirth,DOB
716,$person.dateOfDeath,
717,$person.sex,GN
718,$person.maritalstatus,
719,$person.addressDetails.addressLine1,HADD
720,$person.addressDetails.addressLine2,HADD
721,$person.addressDetails.addressLine3,HADD
722,$person.addressDetails.city,CITY
723,$person.addressDetails.administrativeArea,HADD
724,$person.addressDetails.country,CC
725,$person.addressDetails.countryName,CC
726,$person.addressDetails.postCode,PC
727,$person.contactDetails.lostContact,FN
728,$person.contactDetails.telephoneDetails.telephoneNumber,TN
729,$person.contactDetails.telephoneDetails.telephoneUsage,TN
730,$person.contactDetails.telephoneDetails.internationalCallingCode,TN
731,$person.contactDetails.emailAddressDetails.email,EMAIL
732,$person.countryOfBirth,BP
733,$person.townOfBirth,BP
734,$person.countryOfNationality,CC
735,$person.countryOfResidence,CC
736,$person.nationalIdentifiers.country,CC
737,$person.nationalIdentifiers.identifierType,
738,$person.nationalIdentifiers.identifier,NI
739,$person.taxDetails.payeeTaxCode,
740,$person.taxDetails.taxResidency,HADD
741,$person.employmentStatus,JP
742,$person.classification,
743,$person.amlStatus,
744,$person.ivcStatus,
745,$person.mpaaTriggeredDate,
746,$person.personRelationships.personRelationshipId,
747,$person.personRelationships.personId,
748,$person.personRelationships.relationship,
749,$person.personRelationships.relationshipStartDate,
750,$person.personRelationships.relationshipEndDate,
751,$person.personRelationships.contextAttributes.name,
752,$person.personRelationships.contextAttributes.value,
753,$person.personRelationships.href,
754,$person.organisationRelationships.organisationRelationshipId,
755,$person.organisationRelationships.organisationId,
756,$person.organisationRelationships.relationship,
757,$person.organisationRelationships.relationshipStartDate,
758,$person.organisationRelationships.relationshipEndDate,
759,$person.organisationRelationships.contextAttributes.name,
760,$person.organisationRelationships.contextAttributes.value,
761,$person.organisationRelationships.href,
762,$person.contextAttributes.name,
763,$person.contextAttributes.value,
764,$person.sponsors.serviceType,
765,$person.sponsors.sponsorReference,
766,$person.sponsors.executiveStatus,
767,$person.sponsors.insider,
768,$person.sponsors.pdmr,
769,$person.sponsors.cashSweepCode,
770,$account.accounts.accountId,
771,$account.accounts.accountType,
772,$account.accounts.accountStatus,
773,$account.accounts.designation,
774,$account.accounts.alternateIdentifiers.alternateIdType,NI
775,$account.accounts.alternateIdentifiers.alternateId,NI
776,$account.accounts.accountCreatedDate,
777,$account.accounts.modelPortfolio.modelId,
778,$account.accounts.modelPortfolio.modelVersion,
779,$account.accounts.personRelationships.personRelationshipId,
780,$account.accounts.personRelationships.personId,
781,$account.accounts.personRelationships.relationship,
782,$account.accounts.personRelationships.relationshipStartDate,
783,$account.accounts.personRelationships.relationshipEndDate,
